x,RS L=200 p_sym=1.0e-03,x,RS L=400 p_sym=1.0e-03,x,RS L=600 p_sym=1.0e-03,x,RS L=800 p_sym=1.0e-03,x,RS L=1000 p_sym=1.0e-03
-7.99999999999999999091344728419008458224784990607002725034172938776195836926985367672403054713790383339182808068177585387458744489874590191772316925967855326797698235200223179724026409038850319156060092012749484366066364174581727480860360539499638340043746996485255937996326566183271170334711803160442613,0.5294117647058824,-7.99999999999999999091344728419008458224784990607002725034172938776195836926985367672403054713790383339182808068177585387458744489874590191772316925967855326797698235200223179724026409038850319156060092012749484366066364174581727480860360539499638340043746996485255937996326566183271170334711803160442613,0.696078431372549,-7.99999999999999999091344728419008458224784990607002725034172938776195836926985367672403054713790383339182808068177585387458744489874590191772316925967855326797698235200223179724026409038850319156060092012749484366066364174581727480860360539499638340043746996485255937996326566183271170334711803160442613,0.7777777777777778,-7.99999999999999999091344728419008458224784990607002725034172938776195836926985367672403054713790383339182808068177585387458744489874590191772316925967855326797698235200223179724026409038850319156060092012749484366066364174581727480860360539499638340043746996485255937996326566183271170334711803160442613,0.8186274509803921,-7.99999999999999999091344728419008458224784990607002725034172938776195836926985367672403054713790383339182808068177585387458744489874590191772316925967855326797698235200223179724026409038850319156060092012749484366066364174581727480860360539499638340043746996485255937996326566183271170334711803160442613,0.8352941176470589
-7.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.5251764705882352,-7.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.6905098039215686,-7.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.7715555555555556,-7.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.812078431372549,-7.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.8286117647058824
-6.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.5209411764705882,-6.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.6849411764705883,-6.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.7591111111111111,-6.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.7989803921568628,-6.00000000000000001965264532972061606169195068241727667169000424221557599686688273105860478385048063902642628132306396904801646635797117123824007038130781426301602890838163468516211964428694990548791717605562953974322479044284642973335110596141290937862345812747876539663010657947768489077054806858256759,0.8152470588235294
-4.99999999999999996447338508230199730082956312575250347988926675696550820865921125935177599363054210349101295402545781875379131283102769220134182484890448137787232863780624498057132698765519159173163786253378738431294349363845372576294287895318796517845559557419856030900939637426624926314848780800560933,0.508235294117647,-4.99999999999999996447338508230199730082956312575250347988926675696550820865921125935177599363054210349101295402545781875379131283102769220134182484890448137787232863780624498057132698765519159173163786253378738431294349363845372576294287895318796517845559557419856030900939637426624926314848780800560933,0.6626666666666666,-4.99999999999999996447338508230199730082956312575250347988926675696550820865921125935177599363054210349101295402545781875379131283102769220134182484890448137787232863780624498057132698765519159173163786253378738431294349363845372576294287895318796517845559557419856030900939637426624926314848780800560933,0.7342222222222222,-4.99999999999999996447338508230199730082956312575250347988926675696550820865921125935177599363054210349101295402545781875379131283102769220134182484890448137787232863780624498057132698765519159173163786253378738431294349363845372576294287895318796517845559557419856030900939637426624926314848780800560933,0.766235294117647,-4.99999999999999996447338508230199730082956312575250347988926675696550820865921125935177599363054210349101295402545781875379131283102769220134182484890448137787232863780624498057132698765519159173163786253378738431294349363845372576294287895318796517845559557419856030900939637426624926314848780800560933,0.7751529411764706
-3.99999999999999997918785448161362828489264543217845546918762618908617927086605048248769234810036071206717650554974438572249970261048859650091161072619699331778015418569187237736351216904174676731005298234901381364667791394674278915999469877579388627922531004041586887738421160599845733435865602434780056,0.4743529411764706,-3.99999999999999997918785448161362828489264543217845546918762618908617927086605048248769234810036071206717650554974438572249970261048859650091161072619699331778015418569187237736351216904174676731005298234901381364667791394674278915999469877579388627922531004041586887738421160599845733435865602434780056,0.5902745098039216,-3.99999999999999997918785448161362828489264543217845546918762618908617927086605048248769234810036071206717650554974438572249970261048859650091161072619699331778015418569187237736351216904174676731005298234901381364667791394674278915999469877579388627922531004041586887738421160599845733435865602434780056,0.6284444444444445,-3.99999999999999997918785448161362828489264543217845546918762618908617927086605048248769234810036071206717650554974438572249970261048859650091161072619699331778015418569187237736351216904174676731005298234901381364667791394674278915999469877579388627922531004041586887738421160599845733435865602434780056,0.6352549019607843,-3.99999999999999997918785448161362828489264543217845546918762618908617927086605048248769234810036071206717650554974438572249970261048859650091161072619699331778015418569187237736351216904174676731005298234901381364667791394674278915999469877579388627922531004041586887738421160599845733435865602434780056,0.6147764705882353
-2.99999999999999999095943000106293343109595429568498381067844295976206797445854287837920725361503217663494752657438485695878326192099431410779332247567049375533677164635073979281487077131679863745320438009910240923041593606916519613815085270658856014126185738685269238411348610844524851122720141621129563,0.3176470588235294,-2.99999999999999999095943000106293343109595429568498381067844295976206797445854287837920725361503217663494752657438485695878326192099431410779332247567049375533677164635073979281487077131679863745320438009910240923041593606916519613815085270658856014126185738685269238411348610844524851122720141621129563,0.25058823529411767,-2.99999999999999999095943000106293343109595429568498381067844295976206797445854287837920725361503217663494752657438485695878326192099431410779332247567049375533677164635073979281487077131679863745320438009910240923041593606916519613815085270658856014126185738685269238411348610844524851122720141621129563,0.1368888888888889,-2.99999999999999999095943000106293343109595429568498381067844295976206797445854287837920725361503217663494752657438485695878326192099431410779332247567049375533677164635073979281487077131679863745320438009910240923041593606916519613815085270658856014126185738685269238411348610844524851122720141621129563,0.02619607843137255, , 
